INSTNM,STABBR,IS_PUBLIC,Affordability_Score,Access_Score,Outcomes_Score,Overall_Score
San Jose State University,CA,1,0.6172107051764415,0.7980043801755475,0.5189653067857534,0.6447267973792474
Thomas Edison State University,NJ,1,0.6884809069135036,0.7971323728704167,0.44847523355445795,0.6446961711127928
Cascadia College,WA,1,0.6938609561076743,0.8319578118907224,0.4059655205932039,0.6439280961972002
Rockland Community College,NY,1,0.7255776778853007,0.8111046034514949,0.39508495845218017,0.6439224132629918
Neumont College of Computer Science,UT,0,0.5646711975303039,0.8298642018349501,0.5359594589556805,0.6434982861069782
Middlesex Community College,MA,1,0.7652231716539388,0.7688107705442361,0.39622615880013323,0.6434200336661028
Central Texas College,TX,1,0.7740671266954836,0.7861000959433543,0.3692177505652425,0.6431283244013601
De Anza College,CA,1,0.7265765765606651,0.7890932033109584,0.41285467857606795,0.6428414861492305
West Valley College,CA,1,0.7467982205470293,0.7822057342831685,0.39912670968451414,0.642710221504904
Upper Cape Cod Regional Technical School,MA,1,0.653683861655598,0.9060701001665857,0.367837401614961,0.6425304544790483
Montgomery College,MD,1,0.7131823979330272,0.8187283523446465,0.3948500054393662,0.6422535852390133
Texas Woman's University,TX,1,0.6530918895030189,0.8664702712580765,0.40685556634766923,0.6421392423695882
Hillsborough Community College,FL,1,0.7826813919931301,0.7744316697164169,0.3686219768541787,0.641911679521242
Dodge City Community College,KS,1,0.8097715275525001,0.7342908957385708,0.38161431905085097,0.6418922474473073
Las Positas College,CA,1,0.7365628998239191,0.7915564855759474,0.39744847387870075,0.6418559530928557
Sacramento City College,CA,1,0.7238908097088761,0.8283035726849679,0.3726273663107201,0.641607249568188
Herzing University-Tampa,FL,0,0.6682084043716214,0.8030496528519354,0.4535271982889518,0.6415950851708362
Normandale Community College,MN,1,0.7403799892216956,0.7887577678262268,0.39498426430383127,0.6413740071172512
Alvin Community College,TX,1,0.7954807170969941,0.7455871072919442,0.38255133404243014,0.6412063861437894
Oakland Community College,MI,1,0.7890607806871967,0.774308709051831,0.3591483357303619,0.6408392751564632
Berkeley City College,CA,1,0.7163242933372459,0.8362250076959814,0.36983869781339346,0.6407959996155402
College of Alameda,CA,1,0.7131756482366012,0.8355993855142014,0.37360354013776825,0.6407928579628569
Seminole State College of Florida,FL,1,0.785477692195118,0.7650588250005699,0.371281980606393,0.6406061659340269
Foothill College,CA,1,0.7046785611652927,0.8027252276426262,0.41418607898201326,0.6405299559299774
South Puget Sound Community College,WA,1,0.7397687486827133,0.8009403973307927,0.38052905989642505,0.6404127353033103
Eastern Gateway Community College,OH,1,0.8342769971220066,0.7369352865370493,0.35000754470803147,0.6404066094556958
Moorpark College,CA,1,0.7926337334400648,0.7360146293498153,0.3917312839002296,0.6401265488967033
Young Americans College of the Performing Arts,CA,0,0.6199895627081866,0.9321849699643319,0.367837401614961,0.6400039780958265
Rowan College at Burlington County,NJ,1,0.7801390897106668,0.7588404133806035,0.3797067243515764,0.6395620758142823
Century College,MN,1,0.7590219589437369,0.774849861775236,0.3844029875481777,0.6394249360890502
Abraham Lincoln University,CA,0,0.6546853567048445,0.7999368385616413,0.46357563517625977,0.6393992768142485
Columbus State Community College,OH,1,0.7586302178222809,0.794534286874915,0.3648543374701276,0.6393396140557744
Wharton County Junior College,TX,1,0.8021469111853974,0.735290519133212,0.3803080921819929,0.6392485075002008
Goldey-Beacom College,DE,0,0.6751730794098799,0.8121418262494391,0.4283510728970483,0.6385553261854559
CUNY LaGuardia Community College,NY,1,0.7614798567278656,0.7831130057963019,0.37105821583228454,0.6385503594521507
DeVry University-Florida,FL,0,0.6610117465578403,0.8713580789806837,0.3831806724696102,0.6385168326693781
Peninsula College,WA,1,0.7708513243283005,0.78623885138528,0.35826166781295715,0.6384506145088459
